Month of Order Date,Category,Target
Apr-18,Furniture,10400.0
May-18,Furniture,10500.0
Jun-18,Furniture,10600.0
Jul-18,Furniture,10800.0
Aug-18,Furniture,10900.0
Sep-18,Furniture,11000.0
Oct-18,Furniture,11100.0
Nov-18,Furniture,11300.0
Dec-18,Furniture,11400.0
Jan-19,Furniture,11500.0
Feb-19,Furniture,11600.0
Mar-19,Furniture,11800.0
Apr-18,Clothing,12000.0
May-18,Clothing,12000.0
Jun-18,Clothing,12000.0
Jul-18,Clothing,14000.0
Aug-18,Clothing,14000.0
Sep-18,Clothing,14000.0
Oct-18,Clothing,16000.0
Nov-18,Clothing,16000.0
Dec-18,Clothing,16000.0
Jan-19,Clothing,16000.0
Feb-19,Clothing,16000.0
Mar-19,Clothing,16000.0
Apr-18,Electronics,9000.0
May-18,Electronics,9000.0
Jun-18,Electronics,9000.0
Jul-18,Electronics,9000.0
Aug-18,Electronics,9000.0
Sep-18,Electronics,9000.0
Oct-18,Electronics,9000.0
Nov-18,Electronics,9000.0
Dec-18,Electronics,9000.0
Jan-19,Electronics,16000.0
Feb-19,Electronics,16000.0
Mar-19,Electronics,16000.0
